,Dataset,BRM,BRM_M,BRM_C,BRM_Ch,GMM,ISOF,ocSVM,BRM_MinMax,BRM_M_MinMax,BRM_C_MinMax,BRM_Ch_MinMax,GMM_MinMax,ISOF_MinMax,ocSVM_MinMax,BRM_std,BRM_M_std,BRM_C_std,BRM_Ch_std,GMM_std,ISOF_std,ocSVM_std,BRM_Minmax_std,BRM_M_Minmax_std,BRM_C_Minmax_std,BRM_Ch_Minmax_std,GMM_Minmax_std,ISOF_Minmax_std,ocSVM_Minmax_std
0,ecoli-0-1_vs_5,0.9261363636363636,0.9204545454545454,0.8295454545454546,0.9261363636363636,0.8693181818181819,0.875,0.875,0.9261363636363636,0.9261363636363636,0.8352272727272727,0.9261363636363636,0.8693181818181819,0.8693181818181819,0.875,0.9261363636363636,0.9261363636363636,0.8295454545454546,0.9261363636363636,0.8693181818181819,0.8465909090909091,0.875,0.9261363636363636,0.9261363636363636,0.8181818181818182,0.9261363636363636,0.8693181818181819,0.8863636363636364,0.875
1,ecoli-0-2-3-4_vs_5,0.9189189189189189,0.9189189189189189,0.8783783783783784,0.9256756756756757,0.8918918918918919,0.8716216216216216,0.9054054054054055,0.9189189189189189,0.9189189189189189,0.8783783783783784,0.9256756756756757,0.8918918918918919,0.8851351351351352,0.9054054054054055,0.9189189189189189,0.9189189189189189,0.8783783783783784,0.9256756756756757,0.8918918918918919,0.8851351351351351,0.9054054054054055,0.9189189189189189,0.9189189189189189,0.8783783783783784,0.9189189189189189,0.8918918918918919,0.8581081081081081,0.9054054054054055
2,lymphography-normal-fibrosis,1.0,1.0,1.0,0.75,0.9464285714285714,1.0,0.9642857142857143,1.0,1.0,1.0,0.75,0.9464285714285714,1.0,0.9642857142857143,1.0,1.0,1.0,0.75,0.9464285714285714,1.0,0.9642857142857143,1.0,1.0,1.0,0.75,0.9464285714285714,1.0,0.9642857142857143
3,car-vgood,0.6153846153846154,0.5754215754215755,0.6100716100716101,0.5,0.9914529914529915,0.8704088704088704,0.9949179949179949,0.6502656502656503,0.610995610995611,0.6044121044121045,0.5,0.9914529914529915,0.8565488565488566,0.9949179949179949,0.5718410718410718,0.5354585354585354,0.6528066528066527,0.5,0.9914529914529915,0.8997458997458997,0.9949179949179949,0.5739200739200739,0.6153846153846154,0.5015015015015015,0.5,0.9914529914529915,0.7731577731577731,0.9949179949179949
4,glass1,0.6412037037037037,0.6527777777777777,0.6157407407407407,0.6157407407407407,0.5231481481481481,0.5486111111111112,0.576388888888889,0.6388888888888888,0.6712962962962963,0.6203703703703703,0.6203703703703703,0.5231481481481481,0.5277777777777778,0.576388888888889,0.6435185185185185,0.6527777777777778,0.6296296296296297,0.6226851851851851,0.5231481481481481,0.5324074074074074,0.576388888888889,0.6458333333333333,0.6527777777777778,0.625,0.6064814814814815,0.5231481481481481,0.5393518518518519,0.576388888888889
5,ecoli-0-3-4_vs_5,0.9722222222222222,0.9722222222222222,0.9444444444444444,0.9583333333333333,0.923611111111111,0.9305555555555556,0.9305555555555556,0.9722222222222222,0.9722222222222222,0.9444444444444444,0.9652777777777778,0.923611111111111,0.9027777777777778,0.9305555555555556,0.9722222222222222,0.9722222222222222,0.9444444444444444,0.9583333333333333,0.923611111111111,0.9444444444444444,0.9305555555555556,0.9722222222222222,0.9722222222222222,0.9513888888888888,0.9583333333333333,0.923611111111111,0.9513888888888888,0.9305555555555556
6,zoo-3,1.0,1.0,1.0,0.8,0.75,0.65,0.8,1.0,1.0,1.0,0.8,0.75,0.65,0.8,1.0,1.0,1.0,0.8,0.75,0.65,0.8,1.0,1.0,1.0,0.8,0.75,0.6,0.8
7,wisconsinImb,0.9932116104868913,0.9948501872659176,0.8939606741573034,0.9888810861423221,0.9803370786516854,0.9967228464419475,0.9948501872659176,0.9929775280898876,0.9946161048689138,0.8944288389513109,0.9886470037453183,0.9803370786516854,0.99812734082397,0.9948501872659176,0.9929775280898876,0.9950842696629213,0.8953651685393258,0.9886470037453183,0.9803370786516854,0.9971910112359551,0.9948501872659176,0.9929775280898876,0.9943820224719101,0.8939606741573034,0.9891151685393258,0.9803370786516854,0.9978932584269663,0.9948501872659176
8,ecoli-0-4-6_vs_5,1.0,1.0,0.918918918918919,0.9932432432432432,0.972972972972973,0.918918918918919,0.9864864864864865,1.0,1.0,0.9256756756756757,0.9932432432432432,0.972972972972973,0.9459459459459459,0.9864864864864865,1.0,1.0,0.9324324324324325,0.9932432432432432,0.972972972972973,0.9459459459459459,0.9864864864864865,1.0,1.0,0.9324324324324325,0.9932432432432432,0.972972972972973,0.9527027027027027,0.9864864864864865
9,ecoli-0-1-4-7_vs_5-6,0.8387096774193549,0.8774193548387097,0.7806451612903226,0.8225806451612903,0.8064516129032259,0.7774193548387096,0.7548387096774194,0.8193548387096774,0.8806451612903226,0.7870967741935484,0.8225806451612903,0.8064516129032259,0.7967741935483871,0.7548387096774194,0.8129032258064517,0.8516129032258064,0.7870967741935484,0.8096774193548387,0.8064516129032259,0.7774193548387096,0.7548387096774194,0.8354838709677419,0.8580645161290323,0.7870967741935484,0.8129032258064517,0.8064516129032259,0.7870967741935484,0.7548387096774194
10,glass-0-6_vs_5,0.875,0.875,0.875,0.825,0.675,0.675,0.875,0.875,0.875,0.875,0.825,0.675,0.7,0.875,0.875,0.875,0.875,0.825,0.675,0.725,0.875,0.875,0.875,0.875,0.825,0.675,0.625,0.875
11,glass-0-4_vs_5,0.8235294117647058,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8529411764705882,0.5294117647058824,0.8529411764705882,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.7941176470588235,0.5294117647058824,0.8529411764705882,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.5294117647058824,0.8235294117647058,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.7058823529411764,0.5294117647058824
12,ecoli-0-1_vs_2-3-5,0.9954545454545455,1.0,0.9090909090909091,0.9954545454545455,0.9681818181818181,0.9863636363636363,0.9727272727272728,0.9954545454545455,1.0,0.9136363636363636,0.990909090909091,0.9681818181818181,0.9954545454545455,0.9727272727272728,0.9954545454545455,1.0,0.9090909090909091,0.9954545454545455,0.9681818181818181,0.990909090909091,0.9727272727272728,0.9954545454545455,1.0,0.9090909090909091,0.9954545454545455,0.9681818181818181,0.9772727272727273,0.9727272727272728
13,yeast-0-2-5-7-9_vs_3-6-8,0.8439226519337016,0.8229281767955801,0.7325966850828729,0.8441988950276242,0.7798342541436464,0.7964088397790056,0.8146408839779005,0.8472375690607734,0.8290055248618784,0.7375690607734806,0.8425414364640884,0.7798342541436464,0.8284530386740332,0.8146408839779005,0.8466850828729282,0.8262430939226519,0.7328729281767956,0.8422651933701657,0.7798342541436464,0.7939226519337017,0.8146408839779005,0.8469613259668508,0.8218232044198894,0.73646408839779,0.8419889502762431,0.7798342541436464,0.8292817679558011,0.8146408839779005
14,ecoli-0-2-6-7_vs_3-5,0.985,0.98,0.9349999999999999,0.985,0.975,0.89,0.97,0.99,0.98,0.9349999999999999,0.985,0.975,0.88,0.97,0.99,0.98,0.9349999999999999,0.99,0.975,0.95,0.97,0.99,0.98,0.9249999999999999,0.985,0.975,0.95,0.97
15,ecoli-0-3-4-7_vs_5-6,0.9148936170212766,0.9148936170212766,0.8808510638297873,0.8978723404255319,0.8851063829787233,0.8808510638297872,0.8808510638297872,0.9191489361702128,0.9148936170212766,0.8851063829787235,0.902127659574468,0.8851063829787233,0.8723404255319149,0.8808510638297872,0.902127659574468,0.9148936170212766,0.8808510638297873,0.8851063829787233,0.8851063829787233,0.8042553191489361,0.8808510638297872,0.9191489361702128,0.9191489361702128,0.8851063829787235,0.8893617021276595,0.8851063829787233,0.8,0.8808510638297872
16,vehicle0,0.8317307692307692,0.8748076923076923,0.8886538461538461,0.7646153846153847,0.8638461538461538,0.7186538461538461,0.6934615384615385,0.8269230769230769,0.8721153846153846,0.8909615384615385,0.7559615384615385,0.8638461538461538,0.6967307692307692,0.6934615384615385,0.8298076923076924,0.8692307692307693,0.895,0.7642307692307693,0.8638461538461538,0.6434615384615385,0.6934615384615385,0.8309615384615385,0.8713461538461539,0.8909615384615385,0.7663461538461539,0.8638461538461538,0.6998076923076924,0.6934615384615385
17,ecoli-0-1-3-7_vs_2-6,0.990909090909091,0.990909090909091,0.9818181818181818,0.9818181818181818,0.990909090909091,0.9818181818181818,0.9545454545454546,0.990909090909091,0.990909090909091,0.9818181818181818,0.9818181818181818,0.990909090909091,0.9727272727272727,0.9545454545454546,0.990909090909091,0.990909090909091,0.9818181818181818,0.9818181818181818,0.990909090909091,0.9818181818181818,0.9545454545454546,0.990909090909091,0.990909090909091,0.9818181818181818,0.9818181818181818,0.990909090909091,0.9636363636363636,0.9545454545454546
18,kr-vs-k-zero_vs_eight,0.9831002331002331,0.8948135198135198,0.9813519813519813,0.5,0.7966200466200466,0.534965034965035,0.5052447552447552,0.9696969696969697,0.9831002331002331,0.979020979020979,0.5,0.7966200466200466,0.7004662004662005,0.5052447552447552,0.9612470862470862,0.9825174825174825,0.9825174825174825,0.5,0.7966200466200466,0.6171328671328671,0.5052447552447552,0.9603729603729604,0.9813519813519813,0.9597902097902098,0.5,0.7966200466200466,0.6468531468531469,0.5052447552447552
19,winequality-red-4,0.6072374227714034,0.6107678729037953,0.6275375110326566,0.5772285966460724,0.5228008237716976,0.5045601647543395,0.6240070609002648,0.6163577522800824,0.6154751397469844,0.6172403648131803,0.5601647543395116,0.5228008237716976,0.5342747867019711,0.6240070609002648,0.6042953809944102,0.6248896734333628,0.6275375110326566,0.5625183877611062,0.5228008237716976,0.5063253898205354,0.6240070609002648,0.6057664018829068,0.6037069726390115,0.6481318034716093,0.5607531626949103,0.5228008237716976,0.5433951162106502,0.6240070609002648
20,ecoli-0-1-4-6_vs_5,0.9278846153846154,0.9086538461538461,0.875,0.9134615384615384,0.8653846153846154,0.9038461538461539,0.8942307692307692,0.9230769230769231,0.9182692307692307,0.8846153846153846,0.9038461538461539,0.8653846153846154,0.9086538461538461,0.8942307692307692,0.9278846153846154,0.9326923076923077,0.8701923076923077,0.9086538461538461,0.8653846153846154,0.8846153846153846,0.8942307692307692,0.9182692307692307,0.9326923076923077,0.875,0.9134615384615384,0.8653846153846154,0.923076923076923,0.8942307692307692
21,vowel0,1.0,0.9993827160493827,0.9959876543209877,0.9978395061728395,0.962037037037037,0.9734567901234568,0.8228395061728395,1.0,0.9990740740740741,0.9953703703703703,0.9975308641975309,0.962037037037037,0.9725308641975309,0.8228395061728395,0.9993827160493827,0.9993827160493827,0.9947530864197531,0.9972222222222222,0.962037037037037,0.9731481481481482,0.8228395061728395,1.0,0.9987654320987654,0.9950617283950617,0.9981481481481481,0.962037037037037,0.9734567901234568,0.8228395061728395
22,poker-8-9_vs_5,0.6824390243902438,0.7212195121951219,0.566829268292683,0.7390243902439024,0.535609756097561,0.5121951219512195,0.5790243902439025,0.7180487804878048,0.7302439024390244,0.5624390243902438,0.688780487804878,0.535609756097561,0.5478048780487804,0.5790243902439025,0.7263414634146341,0.7107317073170731,0.5653658536585365,0.7053658536585365,0.535609756097561,0.5224390243902439,0.5790243902439025,0.7034146341463414,0.7195121951219512,0.5439024390243903,0.7082926829268292,0.535609756097561,0.5258536585365854,0.5790243902439025
23,winequality-red-8_vs_6,0.83203125,0.82421875,0.765625,0.8359375,0.775390625,0.720703125,0.64453125,0.8359375,0.810546875,0.771484375,0.83203125,0.775390625,0.72265625,0.64453125,0.833984375,0.82421875,0.767578125,0.830078125,0.775390625,0.736328125,0.64453125,0.83203125,0.82421875,0.775390625,0.83203125,0.775390625,0.72265625,0.64453125
24,yeast-2_vs_8,0.6639784946236559,0.6612903225806451,0.685483870967742,0.6263440860215054,0.6559139784946236,0.6155913978494624,0.5779569892473119,0.6612903225806452,0.6666666666666666,0.6881720430107527,0.6478494623655914,0.6559139784946236,0.6236559139784946,0.5779569892473119,0.6639784946236559,0.6612903225806451,0.6720430107526882,0.6559139784946236,0.6559139784946236,0.6505376344086021,0.5779569892473119,0.6532258064516129,0.6639784946236559,0.685483870967742,0.6424731182795699,0.6559139784946236,0.685483870967742,0.5779569892473119
25,glass-0-1-2-3_vs_4-5-6,0.9517045454545454,0.9517045454545454,0.9545454545454546,0.9573863636363636,0.9318181818181819,0.9090909090909091,0.8892045454545454,0.9545454545454546,0.9488636363636364,0.9545454545454546,0.9517045454545454,0.9318181818181819,0.9346590909090909,0.8892045454545454,0.9460227272727273,0.9488636363636364,0.9545454545454546,0.9573863636363636,0.9318181818181819,0.9431818181818182,0.8892045454545454,0.9488636363636364,0.9517045454545454,0.9602272727272727,0.9573863636363636,0.9318181818181819,0.9403409090909091,0.8892045454545454
26,abalone-3_vs_11,1.0,1.0,1.0,1.0,1.0,1.0,0.9897959183673469,1.0,1.0,1.0,1.0,1.0,1.0,0.9897959183673469,1.0,1.0,1.0,1.0,1.0,1.0,0.9897959183673469,1.0,1.0,1.0,1.0,1.0,1.0,0.9897959183673469
27,ecoli1,0.7451923076923077,0.75,0.5288461538461539,0.7223557692307693,0.7584134615384616,0.8209134615384616,0.7728365384615384,0.7536057692307692,0.7379807692307692,0.5204326923076923,0.7211538461538461,0.7584134615384616,0.8269230769230769,0.7728365384615384,0.7463942307692307,0.7451923076923077,0.5240384615384616,0.7223557692307692,0.7584134615384616,0.8245192307692308,0.7728365384615384,0.7439903846153846,0.7415865384615384,0.5264423076923077,0.7235576923076923,0.7584134615384616,0.828125,0.7728365384615384
28,abalone-17_vs_7-8-9-10,0.8585526315789473,0.8474049707602339,0.8709795321637427,0.8453947368421053,0.8221856725146199,0.7214912280701754,0.5531798245614035,0.8594663742690059,0.8550804093567251,0.8775584795321637,0.84375,0.8221856725146199,0.754203216374269,0.5531798245614035,0.853983918128655,0.8530701754385965,0.8768274853801169,0.8421052631578947,0.8221856725146199,0.7399488304093567,0.5531798245614035,0.8574561403508771,0.8538011695906433,0.8812134502923976,0.8430190058479532,0.8221856725146199,0.7260599415204678,0.5531798245614035
29,abalone19,0.6421391234418978,0.635102533172497,0.6586248492159228,0.6135906714917572,0.5904704463208685,0.6811419380780056,0.7895054282267792,0.6433453960595095,0.6304784881383193,0.6674708484117411,0.6145958986731002,0.5904704463208685,0.6642541214314435,0.7895054282267792,0.6465621230398071,0.6192199437072778,0.6622436670687575,0.6342983514274226,0.5904704463208685,0.7430639324487335,0.7895054282267792,0.6385203055890631,0.6312826698833937,0.6608363490148774,0.6300763972657821,0.5904704463208685,0.7165259348612787,0.7895054282267792
30,vehicle3,0.671671854971617,0.6484160410181286,0.5094305072331075,0.6703900384544955,0.6526277238600989,0.6387108588170665,0.6178355612525179,0.6705731550997985,0.6539095403772203,0.5050357077458341,0.6760666544588902,0.6526277238600989,0.6423731917231277,0.6178355612525179,0.6672770554843435,0.6513459073429775,0.5022889580662883,0.6713056216810108,0.6526277238600989,0.6507965574070683,0.6178355612525179,0.6755173045229812,0.6482329243728255,0.507965574070683,0.6709393883904047,0.6526277238600989,0.6747848379417689,0.6178355612525179
31,glass-0-1-6_vs_5,0.9428571428571428,0.9571428571428571,0.9142857142857143,0.9428571428571428,0.7142857142857143,0.8285714285714285,0.7,0.9285714285714286,0.9571428571428571,0.9142857142857143,0.9428571428571428,0.7142857142857143,0.8142857142857143,0.7,0.9285714285714286,0.9571428571428571,0.9142857142857143,0.9428571428571428,0.7142857142857143,0.8285714285714285,0.7,0.9428571428571428,0.9571428571428571,0.9142857142857143,0.9428571428571428,0.7142857142857143,0.7714285714285715,0.7
32,yeast-0-3-5-9_vs_7-8,0.6760869565217391,0.6717391304347826,0.6369565217391304,0.7010869565217391,0.5804347826086956,0.5793478260869565,0.6032608695652174,0.6771739130434783,0.6695652173913044,0.6402173913043478,0.692391304347826,0.5804347826086956,0.6130434782608696,0.6032608695652174,0.6706521739130434,0.6663043478260869,0.6413043478260869,0.6978260869565217,0.5804347826086956,0.5902173913043478,0.6032608695652174,0.6771739130434782,0.6684782608695652,0.6304347826086957,0.6978260869565218,0.5804347826086956,0.5913043478260869,0.6032608695652174
33,yeast3,0.7152203856749311,0.7048898071625345,0.7812213039485767,0.7047750229568412,0.7410468319559229,0.6818181818181819,0.563475665748393,0.7161386593204775,0.7000688705234159,0.7881083562901745,0.7058080808080809,0.7410468319559229,0.669536271808999,0.563475665748393,0.7192378328741965,0.7068411386593205,0.7786960514233241,0.7092516069788797,0.7410468319559229,0.6449724517906336,0.563475665748393,0.7118916437098255,0.7021349862258952,0.7796143250688705,0.7024793388429752,0.7410468319559229,0.647038567493113,0.563475665748393
34,iris0,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,0.925,1.0,1.0,1.0,1.0,1.0,1.0,0.965,1.0
35,abalone-20_vs_8-9-10,0.8509700176366843,0.8575837742504409,0.8108465608465608,0.8293650793650794,0.8778659611992945,0.7380952380952381,0.5022045855379189,0.8509700176366843,0.855379188712522,0.8112874779541446,0.8156966490299824,0.8778659611992945,0.6618165784832452,0.5022045855379189,0.8606701940035273,0.8615520282186949,0.8236331569664903,0.8346560846560847,0.8778659611992945,0.6626984126984127,0.5022045855379189,0.8531746031746033,0.8602292768959435,0.8037918871252204,0.8276014109347443,0.8778659611992945,0.6882716049382716,0.5022045855379189
36,car-good,0.5714285714285714,0.5315189328743546,0.5341006884681583,0.5,0.9100688468158348,0.7859294320137694,0.8259466437177281,0.5292598967297761,0.5697074010327022,0.534315834767642,0.5,0.9100688468158348,0.7988382099827883,0.8259466437177281,0.534315834767642,0.5315189328743546,0.532487091222031,0.5,0.9100688468158348,0.7426850258175559,0.8259466437177281,0.5030120481927711,0.5030120481927711,0.5313037865748709,0.5,0.9100688468158348,0.6516781411359724,0.8259466437177281
37,poker-9_vs_7,1.0,0.9893617021276595,0.7765957446808511,1.0,0.9680851063829787,0.8191489361702128,0.925531914893617,1.0,0.9893617021276595,0.7765957446808511,1.0,0.9680851063829787,0.8723404255319149,0.925531914893617,1.0,0.9893617021276595,0.7765957446808511,1.0,0.9680851063829787,0.8085106382978724,0.925531914893617,1.0,0.9893617021276595,0.7872340425531914,1.0,0.9680851063829787,0.8191489361702128,0.925531914893617
38,yeast-1-4-5-8_vs_7,0.6453634085213034,0.6904761904761905,0.7456140350877193,0.6817042606516291,0.6967418546365916,0.7406015037593985,0.6616541353383459,0.6566416040100251,0.6704260651629073,0.7506265664160401,0.6704260651629073,0.6967418546365916,0.7969924812030076,0.6616541353383459,0.650375939849624,0.6729323308270677,0.7431077694235589,0.6616541353383459,0.6967418546365916,0.7531328320802005,0.6616541353383459,0.6478696741854637,0.6729323308270677,0.731829573934837,0.6729323308270677,0.6967418546365916,0.7518796992481203,0.6616541353383459
39,flare-F,0.8422764227642277,0.8542005420054201,0.8422764227642277,0.743089430894309,0.8899728997289973,0.8888888888888888,0.9230352303523035,0.8417344173441734,0.843360433604336,0.8417344173441734,0.8222222222222222,0.8899728997289973,0.8677506775067751,0.9230352303523035,0.8471544715447155,0.7788617886178861,0.7636856368563686,0.8276422764227642,0.8899728997289973,0.8547425474254742,0.9230352303523035,0.846070460704607,0.8384823848238483,0.8308943089430894,0.8032520325203252,0.8899728997289973,0.9073170731707317,0.9230352303523035
40,winequality-red-3_vs_5,0.8576642335766423,0.8613138686131387,0.583941605839416,0.8613138686131387,0.9051094890510949,0.7992700729927007,0.7080291970802919,0.864963503649635,0.8613138686131387,0.6058394160583942,0.8613138686131387,0.9051094890510949,0.8211678832116789,0.7080291970802919,0.864963503649635,0.864963503649635,0.6386861313868613,0.8576642335766423,0.9051094890510949,0.8795620437956204,0.7080291970802919,0.8576642335766423,0.8795620437956204,0.6131386861313869,0.8540145985401459,0.9051094890510949,0.8430656934306568,0.7080291970802919
41,yeast-0-5-6-7-9_vs_4,0.5473684210526315,0.5521531100478468,0.5196172248803828,0.5636363636363637,0.5923444976076555,0.5397129186602871,0.5454545454545454,0.5406698564593302,0.5464114832535885,0.5215311004784688,0.5550239234449761,0.5923444976076555,0.5358851674641149,0.5454545454545454,0.5492822966507177,0.554066985645933,0.5110047846889951,0.584688995215311,0.5923444976076555,0.5205741626794258,0.5454545454545454,0.5444976076555024,0.5397129186602869,0.5186602870813397,0.5578947368421053,0.5923444976076555,0.5416267942583731,0.5454545454545454
42,shuttle-6_vs_2-3,1.0,1.0,1.0,1.0,1.0,0.9545454545454546,1.0,1.0,1.0,1.0,1.0,1.0,0.8977272727272727,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909092,1.0,1.0,1.0,1.0,1.0,1.0,0.9318181818181819,1.0
43,glass-0-1-4-6_vs_2,0.5743243243243243,0.5608108108108107,0.5540540540540541,0.5675675675675675,0.5945945945945945,0.7094594594594594,0.7702702702702703,0.5608108108108107,0.5472972972972974,0.554054054054054,0.5608108108108109,0.5945945945945945,0.722972972972973,0.7702702702702703,0.5810810810810811,0.5540540540540541,0.5608108108108107,0.5675675675675675,0.5945945945945945,0.6756756756756757,0.7702702702702703,0.581081081081081,0.5405405405405406,0.5472972972972974,0.5337837837837838,0.5945945945945945,0.6486486486486487,0.7702702702702703
44,abalone-19_vs_10-11-12-13,0.5867026055705301,0.5575022461814915,0.60062893081761,0.5929919137466306,0.6163522012578616,0.6374663072776281,0.6329739442946991,0.5790655884995508,0.5570530098831986,0.5929919137466307,0.6096136567834681,0.6163522012578616,0.6500449236298294,0.6329739442946991,0.5929919137466307,0.5696316262353998,0.5970350404312669,0.5871518418688231,0.6163522012578616,0.6410601976639713,0.6329739442946991,0.5956873315363882,0.5754716981132075,0.6019766397124888,0.5974842767295598,0.6163522012578616,0.6451033243486074,0.6329739442946991
45,shuttle-c0-vs-c4,0.9970760233918129,0.9970760233918129,0.9970760233918129,0.9970760233918129,0.9970760233918129,1.0,0.9926291423001949,0.9970760233918129,0.9970760233918129,0.9970760233918129,0.9970760233918129,0.9970760233918129,0.9998781676413255,0.9926291423001949,0.9970760233918129,0.9970760233918129,0.9970760233918129,0.9970760233918129,0.9970760233918129,1.0,0.9926291423001949,0.9970760233918129,0.9970760233918129,0.9970760233918129,0.9970760233918129,0.9970760233918129,1.0,0.9926291423001949
46,vehicle1,0.652056277056277,0.6453823953823954,0.5010822510822511,0.6531385281385281,0.5615079365079365,0.6421356421356421,0.6046176046176046,0.654040404040404,0.6414141414141414,0.5023448773448773,0.6538600288600289,0.5615079365079365,0.6562049062049062,0.6046176046176046,0.6605339105339105,0.6320346320346321,0.5048701298701299,0.6545815295815296,0.5615079365079365,0.6812770562770563,0.6046176046176046,0.6536796536796536,0.6345598845598845,0.5151515151515152,0.654040404040404,0.5615079365079365,0.6369047619047619,0.6046176046176046
